female,callback,skillspeaking,skillsocialper,east_asian,south_asian,anglo,vancouver,toronto,montreal
0,0,72.54901960784314,53.125,1,0,0,0,0,1
1,0,72.54901960784314,53.125,1,0,0,0,0,1
1,0,54.90196078431372,31.25,1,0,0,0,0,1
0,0,54.90196078431372,31.25,0,1,0,0,0,1
1,0,54.90196078431372,31.25,0,0,1,0,0,1
0,0,29.41176470588235,25.0,0,1,0,0,0,1
0,0,29.41176470588235,25.0,0,1,0,0,0,1
1,0,29.41176470588235,25.0,1,0,0,0,0,1
1,0,29.41176470588235,25.0,0,0,1,0,0,1
0,0,35.29411764705882,51.5625,0,0,0,0,0,1
1,0,35.29411764705882,51.5625,1,0,0,0,0,1
1,1,35.29411764705882,51.5625,0,1,0,0,0,1
1,0,35.29411764705882,51.5625,1,0,0,0,0,1
0,0,35.29411764705882,51.5625,0,1,0,0,0,1
1,0,35.29411764705882,51.5625,0,1,0,0,0,1
0,0,35.29411764705882,51.5625,1,0,0,0,0,1
1,0,35.29411764705882,51.5625,0,0,1,0,0,1
1,0,35.29411764705882,51.5625,1,0,0,0,0,1
1,0,35.29411764705882,51.5625,0,0,0,0,0,1
1,0,35.29411764705882,51.5625,1,0,0,0,0,1
0,0,35.29411764705882,51.5625,0,1,0,0,0,1
1,0,54.90196078431372,31.25,1,0,0,0,0,1
1,0,54.90196078431372,31.25,0,1,0,0,0,1
0,0,54.90196078431372,31.25,0,0,1,0,0,1
1,0,54.90196078431372,31.25,0,1,0,0,0,1
0,0,52.94117647058823,46.875,0,1,0,0,1,0
1,0,52.94117647058823,46.875,0,0,1,0,1,0
0,0,52.94117647058823,46.875,1,0,0,0,1,0
0,0,52.94117647058823,46.875,1,0,0,0,1,0
0,0,27.45098039215686,31.25,0,1,0,0,1,0
1,0,27.45098039215686,31.25,0,0,1,0,1,0
0,0,54.90196078431372,32.8125,0,0,0,0,1,0
0,0,54.90196078431372,32.8125,0,1,0,0,1,0
1,0,54.90196078431372,32.8125,1,0,0,0,1,0
1,0,54.90196078431372,32.8125,1,0,0,0,1,0
0,0,29.41176470588235,25.0,0,0,1,0,0,1
0,0,29.41176470588235,25.0,0,1,0,0,0,1
0,0,29.41176470588235,25.0,0,1,0,0,0,1
0,0,54.90196078431372,31.25,0,1,0,0,0,1
1,1,54.90196078431372,31.25,0,0,1,0,0,1
1,0,54.90196078431372,31.25,1,0,0,0,0,1
0,0,54.90196078431372,31.25,1,0,0,0,0,1
0,0,64.70588235294117,65.625,0,0,1,0,0,1
